Time Stamp,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Yaw (Deg),Pitch (Deg),Roll (Deg)
463145351,-1215,0131,-1591,0027,0006,0001,089.6743,052.3192,005.5728
463151062,-1217,0140,-1581,0032,0005,-0002,089.3922,052.4882,006.2264
463156768,-1244,0159,-1571,0032,0005,-0007,089.1952,052.1889,006.5973
463162472,-1234,0171,-1587,0033,0008,-0008,088.7338,051.2957,007.3572
463168166,-1223,0162,-1602,0032,0014,-0009,088.5472,051.9436,007.9510
463173940,-1248,0162,-1581,0032,0017,-0007,088.8473,052.4670,007.4748
463179700,-1237,0159,-1587,0037,0019,-0005,088.7630,051.3536,007.3743
463185477,-1215,0136,-1578,0037,0019,0000,088.8735,051.9103,007.3068
463191144,-1226,0153,-1590,0038,0022,0008,089.4098,052.2756,006.2588
463196900,-1206,0118,-1602,0041,0022,0017,088.9397,052.1346,007.2295
463202682,-1213,0138,-1564,0046,0022,0022,089.9017,053.0172,005.3154
463208505,-1185,0118,-1569,0043,0016,0032,089.1711,051.8984,006.6345
463214323,-1191,0123,-1612,0041,0017,0036,089.7570,052.9100,005.5718
463220137,-1196,0128,-1567,0037,0012,0040,089.6282,053.4735,005.9553
463225917,-1211,0110,-1566,0039,0010,0036,089.4342,052.3853,006.1265
463231705,-1202,0102,-1556,0037,0010,0034,089.8929,052.1405,005.0764
463237500,-1215,0105,-1559,0035,0007,0029,090.0074,052.2180,004.8280
463243248,-1205,0107,-1555,0036,0005,0023,089.9177,051.9323,004.9502
463248997,-1215,0111,-1576,0034,0007,0020,089.8648,052.1324,005.0855
463254745,-1233,0123,-1556,0037,0008,0018,089.8009,052.2677,005.2349
463260524,-1219,0095,-1538,0032,0007,0015,089.4638,051.3606,005.7525
463266229,-1220,0111,-1570,0031,0009,0015,090.1669,051.5240,004.3471
463271992,-1219,0109,-1568,0028,0011,0016,089.7418,052.1056,005.3228
463277802,-1223,0111,-1545,0028,0010,0015,089.8470,052.0123,005.0792
463283615,-1203,0108,-1564,0024,0010,0015,089.7386,051.4623,005.1996
463289383,-1200,0100,-1561,0028,0007,0016,089.8589,052.4217,005.1214
463295097,-1212,0119,-1559,0025,0008,0015,090.0319,052.3425,004.7314
463300799,-1204,0112,-1556,0026,0007,0011,089.5439,051.9655,005.6937
463306617,-1224,0116,-1558,0026,0007,0012,089.7635,052.1646,005.2704
463312346,-1195,0103,-1564,0027,0003,0005,089.6447,051.6643,005.4261
463318064,-1214,0113,-1569,0024,0004,0002,089.9923,052.5967,004.8702
463323734,-1228,0117,-1576,0027,0005,-0001,089.7235,052.0961,005.3591
463329434,-1223,0121,-1573,0025,0005,-0001,089.6692,051.9233,005.4487
463335105,-1219,0109,-1529,0022,0004,-0007,089.5788,052.0035,005.6701
463340798,-1204,0115,-1576,0025,0008,-0002,089.8069,051.2786,005.0701
463346444,-1227,0111,-1556,0023,0011,-0002,089.7305,052.6380,005.4991
463352226,-1232,0104,-1582,0026,0009,0005,089.8054,051.5043,005.1277
463357919,-1208,0098,-1587,0026,0007,0009,090.0197,052.0542,004.7808
463363609,-1217,0106,-1579,0024,0002,0013,090.1447,052.7048,004.6185
463369357,-1199,0102,-1557,0027,0002,0019,089.9089,052.2055,005.0286
463375113,-1195,0111,-1607,0029,0000,0027,089.9937,052.3031,004.8499
463380769,-1211,0123,-1624,0033,-0006,0024,089.8397,053.3673,005.3714
463386479,-1218,0101,-1580,0032,-0004,0021,089.6000,053.1117,005.8509
463392240,-1208,0112,-1589,0032,-0013,0022,090.0891,052.1482,004.5895
463398068,-1218,0133,-1598,0032,-0011,0017,089.7470,052.7096,005.4162
463403912,-1233,0134,-1582,0036,-0008,0015,089.2917,052.4805,006.3550
463409668,-1239,0146,-1586,0037,-0009,0015,089.3037,051.8136,006.1758
463415390,-1243,0126,-1617,0035,-0009,0014,089.0096,051.7996,006.7884
463421121,-1246,0118,-1614,0037,-0008,0013,089.6025,052.3615,005.6549
463426896,-1233,0130,-1579,0039,0002,0017,089.7130,052.1823,005.3733
463432638,-1230,0121,-1591,0040,-0003,0023,089.3226,051.8072,006.1049
463438365,-1231,0112,-1578,0039,0001,0023,089.6217,052.2014,005.5463
463444140,-1233,0105,-1589,0040,0003,0028,089.7740,051.8807,005.1456
463449833,-1227,0119,-1603,0045,0005,0032,089.9333,052.1124,004.8281
463455581,-1212,0102,-1608,0042,0006,0035,089.5740,052.4794,005.6405
463461315,-1227,0097,-1603,0046,0005,0039,090.0337,052.9500,004.6914
463467055,-1231,0103,-1599,0041,0004,0037,090.0669,052.4153,004.4994
463472841,-1213,0121,-1592,0041,0002,0035,089.8922,052.2910,004.8242
463478576,-1226,0090,-1606,0041,-0003,0032,089.4445,052.5887,005.8250
463484281,-1187,0113,-1605,0039,0001,0027,090.2787,052.5572,003.9903
463490042,-1220,0087,-1612,0037,0000,0024,089.5901,053.5162,005.6740
463495632,-1204,0105,-1616,0034,-0002,0015,090.3062,052.7335,003.9233
463501352,-1201,0088,-1578,0030,0002,0010,089.7995,053.2665,005.1294
463507059,-1218,0111,-1639,0028,0004,0005,090.2193,052.5782,004.0853
463512793,-1227,0090,-1594,0027,0002,0000,089.7118,053.3496,005.3462
463518374,-1219,0088,-1607,0019,0007,0003,090.2023,052.2337,004.0849
463524040,-1233,0081,-1592,0015,0005,-0001,090.2221,052.8054,004.1346
463529687,-1238,0107,-1586,0013,0010,-0002,090.3741,052.1076,003.7170
463535435,-1234,0090,-1588,0014,0010,-0003,089.6978,051.8908,005.1088
463541101,-1257,0096,-1582,0014,0013,0001,090.2232,052.0966,004.0528
463546816,-1246,0104,-1586,0017,0018,0003,090.0003,051.3692,004.4061
463552597,-1249,0099,-1616,0017,0017,0003,089.8336,051.8047,004.8270
463558340,-1228,0093,-1595,0016,0017,0005,090.0311,052.2631,004.4966
463564079,-1231,0118,-1555,0011,0013,0006,090.1260,052.3340,004.3127
463569836,-1243,0119,-1571,0012,0015,0008,089.4234,051.4036,005.6174
463575553,-1219,0129,-1566,0009,0018,0007,089.5240,051.5366,005.4541
463581286,-1229,0139,-1567,0011,0018,0007,089.2556,052.0004,006.1247
463587048,-1238,0133,-1600,0008,0020,0004,089.0493,051.6747,006.5054
463592710,-1206,0121,-1564,0008,0020,0003,089.3096,052.1620,006.0919
463598356,-1227,0133,-1531,0010,0021,-0001,089.5113,052.2314,005.6985
463604083,-1212,0154,-1581,0013,0023,0002,089.1413,051.0419,006.2261
463609819,-1234,0130,-1555,0013,0024,0001,088.7592,052.5047,007.4103
463615553,-1213,0115,-1587,0018,0026,0002,089.3689,051.2857,005.8562
463621334,-1199,0132,-1566,0018,0019,0005,089.7544,052.6866,005.3403
463627119,-1209,0122,-1558,0018,0020,0007,089.2438,052.3602,006.3915
463632846,-1204,0120,-1568,0017,0018,0011,089.5360,052.0157,005.7034
463638662,-1216,0122,-1594,0019,0015,0013,089.5788,052.3858,005.6941
463644451,-1201,0128,-1546,0023,0011,0016,089.5740,052.5408,005.7375
463650282,-1212,0126,-1579,0028,0005,0017,089.3367,051.9448,006.1162
463656032,-1227,0123,-1519,0027,-0001,0013,089.4815,052.3918,005.9076
463661783,-1219,0130,-1569,0031,-0001,0006,089.4224,050.8317,005.7078
463667532,-1232,0142,-1576,0035,-0002,0006,089.3527,052.1620,006.1369
463673196,-1232,0144,-1548,0032,0000,0006,089.0802,051.7479,006.6233
463678764,-1229,0133,-1550,0034,0001,0008,089.0062,051.2517,006.6640
463684445,-1219,0123,-1571,0035,0001,0007,089.2991,051.4386,006.1162
463690094,-1208,0130,-1539,0041,0003,0006,089.5653,052.1195,005.7069
463695754,-1217,0126,-1576,0038,0004,0014,089.3008,051.6795,006.1634
463701527,-1214,0128,-1576,0036,0004,0017,089.4973,052.2462,005.8684
