Time Stamp,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Yaw (Deg),Pitch (Deg),Roll (Deg)
319242616,-1765,-0298,-0873,0009,0008,0014,090.0754,026.2673,-009.4909
319248289,-1750,-0297,-0875,0011,-0001,0011,090.4448,025.9659,-009.5907
319253962,-1758,-0283,-0870,0010,0001,0012,090.3080,026.2682,-009.6322
319259640,-1750,-0298,-0873,0012,-0001,0009,089.6162,026.0146,-009.0928
319265273,-1767,-0295,-0838,0012,-0008,0012,090.4948,026.1984,-009.7130
319270981,-1762,-0289,-0873,0011,-0009,0005,090.9570,024.9580,-009.4549
319276696,-1772,-0294,-0853,0012,-0006,0005,089.8339,026.1950,-009.2950
319282364,-1764,-0284,-0889,0010,-0005,0001,090.6751,025.3138,-009.4339
319288009,-1767,-0294,-0893,0007,-0003,0003,089.2843,026.6001,-009.1066
319293610,-1770,-0285,-0859,0009,0002,0002,089.9692,026.4848,-009.4867
319299234,-1752,-0280,-0885,0013,0006,0005,090.0226,025.5165,-009.1140
319304897,-1759,-0274,-0860,0015,0009,0008,089.2349,026.6234,-009.0749
319310597,-1775,-0272,-0894,0019,0016,0010,089.4353,025.7104,-008.8322
319316365,-1788,-0267,-0875,0017,0010,0015,088.6499,026.5874,-008.6894
319322093,-1783,-0279,-0886,0019,0002,0017,088.8239,025.7248,-008.4628
319327826,-1776,-0289,-0894,0019,0000,0019,089.3231,026.2080,-008.9509
319333450,-1787,-0276,-0875,0020,0000,0017,089.6915,026.4443,-009.2739
319339017,-1758,-0285,-0886,0017,-0002,0020,089.2487,025.7568,-008.7238
319344737,-1769,-0284,-0894,0017,-0001,0013,089.6315,026.5395,-009.2698
319350463,-1777,-0273,-0863,0022,-0003,0012,089.3783,026.5122,-009.0972
319356176,-1796,-0283,-0892,0021,-0002,0010,089.3505,025.5309,-008.6880
319361864,-1797,-0275,-0882,0026,-0002,0008,089.4088,026.2073,-008.9895
319367479,-1783,-0287,-0877,0025,-0003,0007,089.1248,025.8428,-008.6702
319373112,-1790,-0285,-0858,0030,-0003,0003,089.9668,025.9056,-009.2060
319378749,-1788,-0273,-0909,0031,-0003,0005,090.1163,025.2592,-009.0302
319384421,-1787,-0287,-0894,0032,-0003,0006,088.4384,026.8664,-008.6368
319390078,-1774,-0286,-0899,0031,-0002,0006,089.7213,026.2162,-009.1827
319395761,-1773,-0301,-0865,0029,-0005,0012,089.4133,026.6235,-009.1543
319401462,-1773,-0304,-0885,0030,-0004,0013,090.9948,025.5655,-009.6942
319407178,-1760,-0295,-0884,0027,0000,0018,090.5456,026.2859,-009.7313
319412842,-1763,-0313,-0885,0026,0002,0022,090.1022,026.3585,-009.4845
319418572,-1764,-0313,-0873,0020,0004,0023,091.1833,026.2927,-010.1437
319424339,-1765,-0294,-0878,0017,0010,0024,091.2716,025.9384,-010.0431
319430118,-1771,-0313,-0885,0014,0013,0027,090.0231,026.1689,-009.3633
