Time Stamp,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Yaw (Deg),Pitch (Deg),Roll (Deg)
210167440,-1339,0196,-1466,0020,0004,-0008,089.8405,046.9817,007.8769
210173117,-1328,0195,-1479,0019,0006,-0004,089.5984,047.3248,008.3821
210178792,-1305,0196,-1462,0019,0006,-0002,089.7149,047.8310,008.3454
210184451,-1321,0213,-1474,0015,0005,0000,089.6156,047.9322,008.5559
210189976,-1291,0196,-1499,0015,0007,0000,089.2069,047.7480,009.2113
210195535,-1316,0214,-1482,0009,0003,0001,089.8105,049.0572,008.5725
210201158,-1313,0199,-1483,0007,0006,0001,089.2014,047.9114,009.3053
210206795,-1327,0199,-1468,0011,0003,0004,089.6979,048.1771,008.5412
210212495,-1321,0189,-1477,0014,0004,0001,089.5924,047.4953,008.5263
210218188,-1329,0200,-1470,0015,0005,0001,089.9327,047.9483,008.0919
210223795,-1340,0201,-1469,0024,0002,0000,089.5609,047.5183,008.6005
210229358,-1348,0197,-1471,0022,0004,-0005,089.5749,047.2840,008.5167
210235073,-1365,0176,-1480,0022,0002,-0004,089.7048,047.1780,008.2800
210240747,-1375,0188,-1475,0022,0004,-0003,090.3320,047.0611,007.2287
210246407,-1355,0180,-1475,0018,0008,-0001,089.8926,046.7042,007.8456
210252090,-1354,0189,-1469,0019,0004,0002,090.1810,047.2365,007.5261
210257788,-1339,0204,-1442,0021,0003,0006,089.8560,047.0269,008.0004
210263440,-1341,0197,-1489,0024,0006,0006,089.3674,046.7668,008.7201
210269086,-1359,0219,-1438,0029,0003,0007,089.8072,047.8046,008.3037
210274767,-1339,0212,-1466,0030,0002,0008,088.9118,046.0835,009.2351
210280444,-1337,0206,-1488,0036,0000,0009,089.3458,047.3971,008.9548
210286007,-1345,0208,-1495,0035,-0002,0012,089.5424,047.7541,008.7316
210291719,-1329,0204,-1471,0036,-0003,0014,089.4881,047.6701,008.7929
210297476,-1321,0200,-1500,0037,0001,0018,089.5094,047.5514,008.7133
210303125,-1314,0201,-1469,0038,0001,0024,089.7240,048.4031,008.5928
210308840,-1314,0185,-1492,0043,-0002,0024,089.5445,047.7943,008.7030
210314580,-1303,0190,-1499,0038,0001,0028,090.1012,048.4266,007.9099
210320321,-1317,0217,-1472,0037,0001,0031,089.8903,048.7359,008.3526
210326076,-1321,0210,-1487,0033,0000,0037,089.0467,047.6807,009.4782
210331696,-1346,0212,-1488,0033,0001,0040,089.4004,048.0659,008.9817
210337418,-1355,0225,-1487,0030,-0001,0038,089.2938,047.4418,008.9533
210343120,-1359,0190,-1464,0035,-0002,0036,088.9276,047.2424,009.4906
210348834,-1354,0195,-1474,0035,-0004,0034,089.8935,046.7921,007.7590
210354583,-1377,0206,-1463,0039,-0005,0030,089.6424,047.1789,008.2596
210360307,-1352,0195,-1460,0040,-0006,0026,089.3041,046.3143,008.5364
210366021,-1360,0183,-1463,0037,-0005,0024,089.6587,046.9843,008.1559
210371773,-1335,0156,-1475,0035,-0004,0021,089.9712,046.8029,007.5902
210377495,-1352,0180,-1500,0033,0000,0020,090.7596,047.7761,006.5259
210383043,-1353,0156,-1466,0029,0002,0018,090.0530,047.7084,007.6820
210388814,-1354,0165,-1492,0021,0005,0017,090.7103,047.0128,006.4205
210394557,-1334,0167,-1488,0019,0007,0017,090.4246,047.6396,007.0273
210400314,-1343,0158,-1456,0020,0010,0014,090.3898,047.9382,007.1541
